feature,coefficient
log_pop,-0.0005254812419803922
settlement_form,0.00024279489969217504
area_sqkm,-0.00020666772369278764
pop_density,0.0001251336761711757
religion_type,-6.721295758713493e-05
is_jewish,6.721295758713493e-05
pct_arab,3.6762844968963835e-05
is_mixed,0.0
is_bedouin,0.0
